Product ID,Store ID,Date,DailyDemand,OptimizedStock
4277,48,2024-01-03,330,586
5540,10,2024-04-29,334,494
5406,67,2024-01-11,429,508
5617,17,2024-04-04,298,441
3480,33,2024-12-14,344,611
7315,9,2024-11-25,336,497
2902,58,2024-11-13,475,844
6892,19,2024-01-04,491,727
4497,33,2024-10-25,388,689
8079,26,2024-10-22,475,562
3900,36,2024-05-13,434,771
6894,78,2024-04-01,29,52
7767,44,2024-07-06,397,588
9582,67,2024-06-30,71,84
9817,2,2024-05-10,467,829
3845,79,2024-02-27,299,443
1206,82,2024-03-09,322,572
6606,87,2024-05-06,95,112
2197,59,2024-12-24,438,648
5705,80,2024-08-16,416,739
4540,78,2024-08-12,494,585
4784,51,2024-11-25,498,737
3265,12,2024-01-03,158,281
4085,85,2024-12-28,494,585
6410,27,2024-12-24,381,564
4740,21,2024-07-28,67,99
9964,96,2024-12-09,252,448
2288,17,2024-11-29,140,249
5324,47,2024-05-18,71,84
6592,28,2024-08-23,378,559
5840,91,2024-06-26,307,545
8498,59,2024-01-22,273,404
2338,90,2024-07-31,230,340
8532,72,2024-09-01,2,3
9185,51,2024-03-01,333,591
5691,62,2024-05-10,352,417
6335,70,2024-03-17,158,187
1355,59,2024-03-01,46,68
9700,49,2024-05-18,228,405
4783,50,2024-02-26,215,255
8997,23,2024-05-31,437,517
6985,78,2024-08-27,455,539
9816,92,2024-02-25,225,400
6739,5,2024-06-14,317,563
3824,7,2024-04-27,305,451
5747,98,2024-04-06,234,277
9141,29,2024-02-02,84,149
9801,21,2024-03-23,369,437
7579,37,2024-01-06,353,627
1282,8,2024-11-17,80,95
2214,36,2024-05-06,444,789
1675,23,2024-11-01,203,240
6460,16,2024-02-13,29,43
7144,64,2024-12-12,102,121
9868,73,2024-11-29,357,528
9222,4,2024-08-18,477,565
8158,97,2024-10-15,441,522
8688,58,2024-01-06,163,241
2230,49,2024-09-05,233,414
9394,85,2024-10-29,240,426
2100,14,2024-11-30,348,515
2997,4,2024-11-07,343,508
4770,12,2024-12-03,253,300
6545,21,2024-04-25,352,521
6112,1,2024-11-15,143,254
8589,16,2024-12-08,467,829
8758,26,2024-07-25,119,211
1760,72,2024-11-19,92,136
1320,25,2024-10-01,187,332
6547,65,2024-05-08,259,383
1105,6,2024-08-18,5,6
6040,3,2024-10-27,477,847
5036,30,2024-04-17,336,597
3434,30,2024-01-09,483,715
6711,30,2024-04-30,191,283
4183,41,2024-03-26,314,372
2355,70,2024-03-10,371,659
8505,97,2024-06-24,92,109
4416,11,2024-07-20,452,803
1610,21,2024-04-17,115,204
3220,33,2024-10-09,395,468
3598,92,2024-06-20,2,2
6585,58,2024-02-03,61,108
2063,26,2024-06-01,65,115
8166,39,2024-07-21,154,228
8869,43,2024-11-09,375,555
3837,22,2024-02-06,314,558
6295,46,2024-01-15,232,275
6975,72,2024-01-15,399,472
6352,10,2024-11-23,47,56
6054,49,2024-06-27,103,183
6039,77,2024-04-28,433,641
5877,49,2024-02-01,59,105
2226,14,2024-05-01,314,465
3547,30,2024-04-12,24,36
5706,18,2024-01-27,284,420
9139,55,2024-12-07,123,182
6000,84,2024-05-29,17,25
3922,78,2024-01-19,116,206
2497,93,2024-12-18,260,385
3166,43,2024-11-03,169,300
4980,50,2024-04-23,190,337
1349,36,2024-07-02,93,165
5085,92,2024-06-11,456,540
4467,14,2024-08-04,389,461
8369,90,2024-11-06,364,431
3534,72,2024-12-28,399,472
8035,24,2024-10-08,230,272
3698,31,2024-02-05,454,806
9641,11,2024-10-13,35,62
4986,22,2024-11-20,255,377
6598,97,2024-03-08,388,574
2001,92,2024-02-18,391,463
5810,78,2024-03-05,321,570
6898,5,2024-07-09,177,262
1395,9,2024-12-11,342,405
3386,39,2024-06-29,38,67
1912,97,2024-07-09,147,174
4630,96,2024-06-11,142,210
7059,5,2024-08-20,481,712
4834,40,2024-05-25,333,394
7099,19,2024-12-05,444,526
1879,19,2024-08-27,135,160
3015,90,2024-03-07,174,258
7383,2,2024-03-24,382,678
3462,27,2024-01-24,93,138
8413,17,2024-11-24,165,195
2296,14,2024-04-16,87,103
