ds,yhat
2024-11-29,403.3204633204633
2024-11-30,403.64092664092664
2024-12-01,403.96138996138995
2024-12-02,404.2818532818533
2024-12-03,404.6023166023166
2024-12-04,404.9227799227799
2024-12-05,405.2432432432432
2024-12-06,405.56370656370655
2024-12-07,405.88416988416986
2024-12-08,406.2046332046332
2024-12-09,406.5250965250965
2024-12-10,406.8455598455598
2024-12-11,407.16602316602314
2024-12-12,407.4864864864865
2024-12-13,407.80694980694983
2024-12-14,408.12741312741315
2024-12-15,408.44787644787647
2024-12-16,408.7683397683398
2024-12-17,409.0888030888031
2024-12-18,409.4092664092664
2024-12-19,409.72972972972974
2024-12-20,410.05019305019306
2024-12-21,410.3706563706564
2024-12-22,410.6911196911197
2024-12-23,411.011583011583
2024-12-24,411.33204633204633
2024-12-25,411.65250965250965
2024-12-26,411.97297297297297
2024-12-27,412.2934362934363
2024-12-28,412.6138996138996
